Iteration,H,Number of connected components,Maximum number of connected components,Number of connected components / Maximum number of connected components,Volume largest connected component,Total Volume,Largest volume / Total volume,Is percolating
2,0.578125,15,52,0.288462,64335.8,72610.8,0.886036,1
2,0.574219,15,52,0.288462,64847.8,73602.8,0.881051,1
2,0.570313,15,52,0.288462,65370.6,74125.6,0.88189,1
2,0.566406,15,52,0.288462,66300.6,74861.6,0.885642,1
2,0.5625,16,52,0.307692,66556.6,75341.6,0.883398,1
2,0.558594,16,52,0.307692,67148.6,75933.6,0.884307,1
2,0.554688,16,52,0.307692,67628.6,76413.6,0.885034,1
2,0.550781,15,52,0.288462,68188.6,76749.6,0.888456,1
2,0.546875,15,52,0.288462,68668.6,77229.6,0.889149,1
2,0.542969,13,52,0.25,70589.6,77949.6,0.90558,1
2,0.539063,12,52,0.230769,71761.6,78671.6,0.912167,1
2,0.535156,11,52,0.211538,75082.6,79047.6,0.94984,1
2,0.53125,10,52,0.192308,76522.6,80007.6,0.956442,1
2,0.527344,9,52,0.173077,77322.6,80359.6,0.962207,1
2,0.523438,9,52,0.173077,78026.6,81063.6,0.962536,1
2,0.519531,9,52,0.173077,78716.6,81753.6,0.962852,1
2,0.515625,8,52,0.153846,79740.6,82521.6,0.9663,1
2,0.511719,8,52,0.153846,80670.6,83451.6,0.966675,1
2,0.507813,8,52,0.153846,81150.6,83931.6,0.966866,1
2,0.503906,8,52,0.153846,81918.6,84699.6,0.967166,1
2,0.5,7,52,0.134615,83105.6,85060.6,0.977016,1
2,0.496094,8,52,0.153846,83617.6,85684.6,0.975877,1
2,0.492188,7,52,0.134615,84209.6,86164.6,0.977311,1
2,0.488281,7,52,0.134615,85233.6,87188.6,0.977577,1
2,0.484375,6,52,0.115385,86513.6,87956.6,0.983594,1
2,0.480469,6,52,0.115385,86979.6,88422.6,0.983681,1
2,0.476563,6,52,0.115385,88003.6,89446.6,0.983867,1
2,0.472656,6,52,0.115385,88469.6,89912.6,0.983951,1
